obs,maxO3,T9,T12,T15,Ne9,Ne12,Ne15,Vx9,Vx12,Vx15,maxO3v,vent,pluie,,,
601,87,15.60,18.50,18.40,4,4,8,0.695,-1.710,-0.695,84,Nord,Sec,0.00,0.00,0.00
602,82,17.00,18.40,17.70,5,5,7,-4.330,-4.000,-3.000,87,Nord,Sec,0.00,0.00,0.00
603,92,15.30,17.60,19.50,2,5,4,2.954,1.879,0.521,82,Est,Sec,0.00,0.00,0.00
604,114,16.20,19.70,22.50,1,1,0,0.985,0.347,-0.174,92,Nord,Sec,0.00,0.00,0.00
605,94,17.40,20.50,20.40,8,8,7,-0.500,-2.954,-4.330,114,Ouest,Sec,0.00,0.00,0.00
606,80,17.70,19.80,18.30,6,6,7,-5.638,-5.000,-6.000,94,Ouest,Pluie,0.00,0.00,0.00
607,79,16.80,15.60,14.90,7,8,8,-4.330,-1.879,-3.759,80,Ouest,Sec,0.00,0.00,0.00
610,79,14.90,17.50,18.90,5,5,4,0.000,-1.042,0.002,99,Nord,Sec,0.00,0.00,0.00
611,101,16.10,19.60,21.40,2,4,4,-0.077,-1.026,-2.298,79,Nord,Sec,0.00,0.00,0.00
612,106,18.30,21.90,22.90,5,6,8,1.286,-2.298,-3.939,101,Ouest,Sec,0.00,0.00,0.00
613,101,17.30,19.30,20.20,7,7,3,-1.500,-1.500,-0.868,106,Nord,Sec,0.00,0.00,0.00
614,90,17.60,20.30,17.40,7,6,8,0.695,-1.042,-0.695,101,Sud,Sec,0.00,0.00,0.00
615,72,18.30,19.60,19.40,7,5,6,-0.868,-2.736,-6.894,90,Sud,Sec,0.00,0.00,0.00
616,70,17.10,18.20,18.00,7,7,7,-4.330,-7.879,-5.196,72,Ouest,Pluie,0.00,0.00,0.00
617,83,15.40,17.40,16.60,8,7,7,-4.330,-2.052,-3.000,70,Nord,Sec,0.00,0.00,0.00
618,88,15.90,19.10,21.50,6,5,4,0.521,-2.954,-1.026,83,Ouest,Sec,0.00,0.00,0.00
620,145,21.00,24.60,26.90,0,1,1,-0.342,-1.532,-0.684,121,Ouest,Sec,0.00,0.00,0.00
621,81,16.20,22.40,23.40,8,3,1,0.000,0.347,-2.571,145,Nord,Sec,0.00,0.00,0.00
622,121,19.70,24.20,26.90,2,1,0,1.532,1.732,2.000,81,Est,Sec,0.00,0.00,0.00
623,146,23.60,28.60,28.40,1,1,2,1.000,-1.928,-1.216,121,Sud,Sec,0.00,0.00,0.00
624,121,20.40,25.20,27.70,1,0,0,0.000,-0.521,1.026,146,Nord,Sec,0.00,0.00,0.00
625,146,27.00,32.70,33.70,0,0,0,2.954,6.578,4.330,121,Est,Sec,0.00,0.00,0.00
626,108,24.00,23.50,25.10,4,4,0,-2.571,-3.857,-4.699,146,Sud,Sec,0.00,0.00,0.00
627,83,19.70,22.90,24.80,7,6,6,-2.598,-3.939,-4.924,108,Ouest,Sec,0.00,0.00,0.00
628,57,20.10,22.40,22.80,7,6,7,-5.638,-3.830,-4.596,83,Ouest,Pluie,0.00,0.00,0.00
629,81,19.60,25.10,27.20,3,4,4,-1.928,-2.571,-4.330,57,Sud,Sec,0.00,0.00,0.00
630,67,19.50,23.40,23.70,5,5,4,-1.532,-3.064,-0.868,81,Ouest,Sec,0.00,0.00,0.00
701,70,18.80,22.70,24.90,5,2,1,0.684,0.000,1.368,67,Nord,Sec,0.00,0.00,0.00
702,106,24.10,28.40,30.10,0,0,1,2.819,3.939,3.464,70,Est,Sec,0.00,0.00,0.00
703,139,26.60,30.10,31.90,0,1,4,1.879,2.000,1.368,106,Sud,Sec,0.00,0.00,0.00
704,79,19.50,18.80,17.80,8,8,8,0.695,-0.866,-1.026,139,Ouest,Sec,0.00,0.00,0.00
705,93,16.80,18.20,22.00,8,8,6,0.000,0.000,1.286,79,Sud,Pluie,0.00,0.00,0.00
706,97,20.80,23.70,25.00,2,3,4,0.000,1.710,-2.736,93,Nord,Sec,0.00,0.00,0.00
707,113,17.50,18.20,22.70,8,8,5,-3.759,-3.939,-4.699,97,Ouest,Pluie,0.00,0.00,0.00
708,72,18.10,21.20,23.90,7,6,4,-2.598,-3.939,-3.759,113,Ouest,Pluie,0.00,0.00,0.00
709,88,19.20,22.00,25.20,4,7,4,-1.970,-3.064,-4.000,72,Ouest,Sec,0.00,0.00,0.00
710,77,19.40,20.70,22.50,7,8,7,-6.578,-5.638,-9.000,88,Ouest,Sec,0.00,0.00,0.00
711,71,19.20,21.00,22.40,6,4,6,-7.879,-6.894,-6.894,77,Ouest,Sec,0.00,0.00,0.00
712,56,13.80,17.30,18.50,8,8,6,1.500,-3.830,-2.052,71,Ouest,Pluie,0.00,0.00,0.00
713,45,14.30,14.50,15.20,8,8,8,0.684,4.000,2.954,56,Est,Pluie,0.00,0.00,0.00
714,67,15.60,18.60,20.30,5,7,5,-3.214,-3.759,-4.000,45,Ouest,Pluie,0.00,0.00,0.00
715,67,16.90,19.10,19.50,5,5,6,-2.298,-3.759,0.000,67,Ouest,Pluie,0.00,0.00,0.00
716,84,17.40,20.40,21.40,3,4,6,0.000,0.347,-2.598,67,Sud,Sec,0.00,0.00,0.00
717,63,15.10,20.50,20.60,8,6,6,2.000,-5.362,-6.128,84,Ouest,Pluie,0.00,0.00,0.00
718,69,15.10,15.60,15.90,8,8,8,-4.596,-3.830,-4.330,63,Ouest,Pluie,0.00,0.00,0.00
719,92,16.70,19.10,19.30,7,6,4,-2.052,-4.500,-2.736,69,Nord,Sec,0.00,0.00,0.00
720,88,16.90,20.30,20.70,6,6,5,-2.819,-3.464,-3.000,92,Ouest,Pluie,0.00,0.00,0.00
721,66,18.00,21.60,23.30,8,6,5,-3.000,-3.500,-3.214,88,Sud,Sec,0.00,0.00,0.00
722,72,18.60,21.90,23.60,4,7,6,0.866,-1.970,-1.026,66,Ouest,Sec,0.00,0.00,0.00
723,81,18.80,22.50,23.90,6,3,2,0.521,-1.000,-2.000,72,Nord,Sec,0.00,0.00,0.00
724,83,19.00,22.50,24.10,2,4,6,0.000,-1.026,0.521,81,Nord,Sec,0.00,0.00,0.00
725,149,19.90,26.90,29.00,3,4,3,1.000,-0.940,-0.643,83,Ouest,Sec,0.00,0.00,0.00
726,153,23.80,27.70,29.40,1,1,4,0.940,1.500,0.000,149,Nord,Sec,0.00,0.00,0.00
727,159,24.00,28.30,26.50,2,2,7,-0.342,1.286,-2.000,153,Nord,Sec,0.00,0.00,0.00
728,149,23.30,27.60,28.80,4,6,3,0.866,-1.532,-0.174,159,Ouest,Sec,0.00,0.00,0.00
729,160,25.00,29.60,31.10,0,3,5,1.532,-0.684,2.819,149,Sud,Sec,0.00,0.00,0.00
730,156,24.90,30.50,32.20,0,1,4,-0.500,-1.879,-1.286,160,Ouest,Sec,0.00,0.00,0.00
731,84,20.50,26.30,27.80,1,0,2,-1.368,-0.695,0.000,156,Nord,Sec,0.00,0.00,0.00
801,126,25.30,29.50,31.20,1,4,4,3.000,3.759,5.000,84,Est,Sec,0.00,0.00,0.00
802,116,21.30,23.80,22.10,7,7,8,0.000,-2.394,-1.389,126,Sud,Pluie,0.00,0.00,0.00
803,77,20.00,18.20,23.60,5,7,6,-34641.000,-2.598,-3.759,116,Ouest,Pluie,-3.46,0.00,0.00
804,63,18.70,20.60,20.30,6,7,7,-5.000,-4.924,-5.638,77,Ouest,Pluie,0.00,0.00,0.00
805,54,18.60,18.70,17.80,8,8,8,-46985.000,-2.500,-0.868,63,Sud,Pluie,-4.70,0.00,0.00
806,65,19.20,23.00,22.70,8,7,7,-38302.000,-4924.000,-56382.000,54,Ouest,Sec,-3.83,-0.49,-5.64
807,72,19.90,21.60,20.40,7,7,8,-3.000,-45963.000,-51962.000,65,Ouest,Pluie,0.00,-4.60,-5.20
808,60,18.70,21.40,21.70,7,7,7,-56382.000,-60622.000,-68937.000,72,Ouest,Pluie,-5.64,-6.06,-6.89
809,70,18.40,17.10,20.50,3,6,3,-59088.000,-32139.000,-44995.000,60,Nord,Pluie,-5.91,-3.21,-4.50
810,77,17.10,20.00,20.80,4,5,4,-19284.000,-10261.000,0.521,70,Nord,Sec,-1.93,-1.03,0.00
811,98,17.80,22.80,24.30,1,1,0,0.000,-15321.000,-1.000,77,Ouest,Pluie,0.00,-1.53,0.00
812,111,20.90,25.20,26.70,1,5,2,-10261.000,-3.000,-22981.000,98,Ouest,Sec,-1.03,0.00,-2.30
813,75,18.80,20.50,26.00,8,7,1,-866.000,0.000,0.000,111,Nord,Sec,-0.09,0.00,0.00
814,116,23.50,29.80,31.70,1,3,5,18794.000,13681.000,0.695,75,Sud,Sec,1.88,1.37,0.00
815,109,20.80,23.70,26.60,8,5,4,-10261.000,-17101.000,-32139.000,116,Sud,Sec,-1.03,-1.71,-3.21
819,67,18.80,21.10,18.90,7,7,8,-53623.000,-53623.000,-2.500,86,Ouest,Pluie,-5.36,-5.36,0.00
820,76,17.80,21.30,24.00,7,5,5,-30642.000,-22981.000,-39392.000,67,Ouest,Pluie,-3.06,-2.30,-3.94
821,113,20.60,24.80,27.00,1,1,2,13681.000,0.868,-22981.000,76,Sud,Sec,1.37,0.00,-2.30
822,117,21.60,26.90,28.60,6,6,4,15321.000,19284.000,19284.000,113,Sud,Pluie,1.53,1.93,1.93
823,131,22.70,28.40,30.10,5,3,3,0.174,-19696.000,-19284.000,117,Ouest,Sec,0.00,-1.97,-1.93
824,166,19.80,27.20,30.80,4,0,1,0.643,-866.000,684.000,131,Ouest,Sec,0.00,-0.09,0.07
825,159,25.00,33.50,35.50,1,1,1,1.000,0.695,-17101.000,166,Sud,Sec,0.00,0.00,-1.71
826,100,20.10,22.90,27.60,8,8,6,12856.000,-17321.000,-684.000,159,Ouest,Sec,1.29,-1.73,-0.07
827,114,21.00,26.30,26.40,7,4,5,30642.000,28191.000,13681.000,100,Est,Sec,3.06,2.82,1.37
828,112,21.00,24.40,26.80,1,6,3,4.000,4.000,37588.000,114,Est,Sec,0.00,0.00,3.76
829,101,16.90,17.80,20.60,7,7,7,-2.000,-0.521,18794.000,112,Nord,Pluie,0.00,0.00,1.88
830,76,17.50,18.60,18.70,7,7,7,-34641.000,-4.000,-17321.000,101,Ouest,Sec,-3.46,0.00,-1.73
831,59,16.50,20.30,20.30,5,7,6,-43301.000,-53623.000,-4.500,76,Ouest,Pluie,-4.33,-5.36,0.00
901,78,17.70,20.20,21.50,5,5,3,0.000,0.521,0.000,59,Nord,Pluie,0.00,0.00,0.00
902,76,17.30,22.70,24.60,4,5,6,-29544.000,-29544.000,-2.000,78,Ouest,Pluie,-2.95,-2.95,0.00
903,55,15.30,16.80,19.20,8,7,5,-18794.000,-18794.000,-23941.000,76,Ouest,Pluie,-1.88,-1.88,-2.39
904,71,15.90,19.20,19.50,7,5,3,-61284.000,0.000,-13892.000,55,Nord,Pluie,-6.13,0.00,-1.39
905,66,16.20,18.90,19.30,2,5,6,-13681.000,-0.868,17101.000,71,Nord,Pluie,-1.37,0.00,1.71
906,59,18.30,18.30,19.00,7,7,7,-39392.000,-19284.000,-17101.000,66,Nord,Pluie,-3.94,-1.93,-1.71
907,68,16.90,20.80,22.50,6,5,7,-1.500,-34641.000,-30642.000,59,Ouest,Pluie,0.00,-3.46,-3.06
908,63,17.30,19.80,19.40,7,8,8,-45963.000,-60622.000,-43301.000,68,Ouest,Sec,-4.60,-6.06,-4.33
912,78,14.20,22.20,22.00,5,5,6,-866.000,-5.000,-5.000,62,Ouest,Sec,-0.09,0.00,0.00
913,74,15.80,18.70,19.10,8,7,7,-45963.000,-68937.000,-75175.000,78,Ouest,Pluie,-4.60,-6.89,-7.52
914,71,15.20,17.90,18.60,6,5,1,-10419.000,-13681.000,-10419.000,74,Nord,Pluie,-1.04,-1.37,-1.04
915,69,17.10,17.70,17.50,6,7,8,-51962.000,-27362.000,-10419.000,71,Nord,Pluie,-5.20,-2.74,-1.04
916,71,15.40,17.70,16.60,4,5,5,-38302.000,0.000,13892.000,69,Nord,Sec,-3.83,0.00,1.39
917,60,13.70,14.00,15.80,4,5,4,0.000,32139.000,0.000,71,Nord,Pluie,0.00,3.21,0.00
918,42,12.70,14.30,14.90,8,7,7,-2.500,-32139.000,-2.500,60,Nord,Pluie,0.00,-3.21,0.00
919,65,14.80,16.30,15.90,7,7,7,-43301.000,-60622.000,-51962.000,42,Ouest,Pluie,-4.33,-6.06,-5.20
920,71,15.50,18.00,17.40,7,7,6,-39392.000,-30642.000,0.000,65,Ouest,Sec,-3.94,-3.06,0.00
921,96,11.30,19.40,20.20,3,3,3,-0.174,37588.000,38302.000,71,Est,Pluie,0.00,3.76,3.83
922,98,15.20,19.70,20.30,2,2,2,4.000,5.000,43301.000,96,Est,Sec,0.00,0.00,4.33
923,92,14.70,17.60,18.20,1,4,6,51962.000,51423.000,3.500,98,Nord,Sec,5.20,5.14,0.00
924,76,13.30,17.70,17.70,7,7,6,-0.940,-766.000,-0.500,92,Ouest,Pluie,0.00,-0.08,0.00
925,84,13.30,17.70,17.80,3,5,6,0.000,-1.000,-12856.000,76,Sud,Sec,0.00,0.00,-1.29
927,77,16.20,20.80,22.10,6,5,5,-0.695,-2.000,-13681.000,71,Sud,Pluie,0.00,0.00,-1.37
928,99,16.90,23.00,22.60,6,4,7,1.500,0.868,0.868,77,Sud,Sec,0.00,0.00,0.00
929,83,16.90,19.80,22.10,6,5,3,-4.000,-37588.000,-4.000,99,Ouest,Pluie,0.00,-3.76,0.00
930,70,15.70,18.60,20.70,7,7,7,0.000,-10419.000,-4.000,83,Sud,Sec,0.00,-1.04,0.00